route_id,route_long_name,route_color,trip_id,service_id,direction_id,stop_sequence,stop_name,stop_lat,stop_lon,location_type,shape_pt_sequence,shape_id
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,28,sbr. rumkitban bintaro,-6.258342,106.75628,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,29,sbr. sd kartika x-4,-6.259265,106.75617,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,29,kebayoran baru velbak 2,-6.239272,106.78492,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,3,kolong tol jakarta serpong 1,-6.256082,106.76049,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,3,klinik sasana husada,-6.240106,106.79406,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,30,sdn pesanggrahan 10,-6.259714,106.75688,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,30,singgalang,-6.236849,106.78782,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,31,kodam bintaro,-6.25945,106.75871,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,31,puskesmas kel. gunung,-6.239677,106.790264,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,32,grand centro bintaro,-6.258839,106.75968,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,32,mayestik 2,-6.241772,106.79096,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,33,masjid hifdzirrahim,-6.257359,106.75963,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,33,rs pusat pertamina 2,-6.241189,106.79301,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,34,jln. h. gari,-6.256091,106.75965,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,34,rs pusat pertamina 3,-6.239806,106.79431,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,35,kolong tol jakarta serpong 2,-6.256039,106.76062,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,35,csw 2,-6.239853,106.797838,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,36,m bloc,-6.241445,106.798552,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,36,kolong tol guru saleh,-6.257605,106.76529,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,37,jln. guru saleh,-6.257895,106.76611,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,37,blok m jalur 2,-6.243369,106.80188,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,38,jln. ikpn bintaro,-6.25997,106.76787,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,39,gerbang tol veteran,-6.261369,106.76721,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,4,rs pusat pertamina 1,-6.241352,106.79315,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,4,sbr. jln. beo,-6.256595,106.75966,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,40,rusun rempoa,-6.261641,106.7666,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,41,bintaro kodam,-6.260196,106.76594,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,5,bintaro park view,-6.257977,106.75969,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,5,mayestik 1,-6.242041,106.79116,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,6,sbr. kodam bintaro,-6.259531,106.75878,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,6,simpang gandaria kyai maja,-6.24186,106.79,0,1,1c-r02_shp
