location_name,node_id,node_name,lat,lon,connected_to,distance_km
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,museum kebangkitan,9.62
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,cipulir 1,9.62
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,one park residences,1.71
one park residences,1q,rempoa - blok m,-6.245436,106.78844,cipulir 1,1.71
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,patra kuningan,6.35
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,cipulir 1,6.35
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,pengadilan negeri jaksel 1,6.91
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,cipulir 1,6.91
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,jln. poncol jaya 2,4.86
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,cipulir 1,4.86
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,rs harapan bunda,12.5
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,cipulir 1,12.5
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,kalibata city 1,8.98
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,cipulir 1,8.98
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,permata eksekutif 2,2.57
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,cipulir 1,2.57
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,jln. h. gari,2.62
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,cipulir 1,2.62
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,transvision,5.93
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,cipulir 1,5.93
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,rs mitra keluarga 2,24.12
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,cipulir 1,24.12
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,terrace 2 pondok indah,2.79
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,cipulir 1,2.79
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,grand wijaya dharmawangsa,3.38
